iata,longitude,latitude,region
ATM,-52.253938,-3.253144,South
ATN,152.438,-3.6695,Other
ATO,-82.22949,39.211839,Other
ATP,142.346806,-3.143611,Other
ATQ,74.797302,31.7096,Atlantic
ATR,-13.04319954,20.5067997,Atlantic
ATS,-104.4680023,32.85250092,Other
ATT,-162.272996,60.866699,Domestic
ATU,173.173796,52.829797,Other
ATV,18.315893,13.239778,Other
ATW,-88.519096,44.258099,Domestic
ATX,68.366892,51.852306,Other
ATY,-97.15470123,44.91400146,Domestic
ATZ,31.016309,27.050818,Atlantic
AUA,-70.015198,12.5014,Caribbean
AUC,-70.7369,7.06888,Central
AUD,139.878006,-18.51499939,Other
AUE,33.202057,28.899694,Other
AUF,3.49711,47.850201,Other
AUG,-69.79730225,44.3205986,Domestic
AUH,54.651718,24.443764,Atlantic
AUI,143.0647222,-1.460555556,Other
AUJ,142.8231667,-4.215666667,Other
AUK,-164.722481,62.682653,Domestic
AUL,171.173004,8.14528,Other
AUM,-92.93340302,43.66500092,Other
AUN,-121.0820007,38.95479965,Other
AUO,-85.433998,32.615101,Other
AUP,149.389951,-9.927715,Other
AUQ,-139.0110016,-9.768790245,Pacific
AUR,2.42194,44.891399,Atlantic
AUS,-97.662015,30.197535,Domestic
AUT,125.606378,-8.243133,Other
AUU,141.720028,-13.354019,Pacific
AUV,148.4452778,-5.731111111,Other
AUW,-89.62660217,44.92620087,Other
AUX,-48.240501,-7.22787,South
AUY,169.770758,-20.249142,Pacific
AUZ,-88.47570038,41.77190018,Other
AVA,105.873333,26.260556,Pacific
AVB,12.596503,46.031898,Other
AVG,130.008818,-15.690555,Other
AVI,-78.789597,22.0271,Other
AVK,102.802002,46.25030136,Other
AVL,-82.541801,35.436199,Domestic
AVN,4.90183,43.907299,Other
AVO,-81.52780151,27.59119987,Other
AVP,-75.7233963,41.33850098,Domestic
AVU,160.410556,-9.868333,Other
AVV,144.468994,-38.039398,Pacific
AVW,-111.216199,32.409065,Other
AVX,-118.416,33.4049,Other
AWA,38.396187,7.099869,Atlantic
AWB,142.752099,-8.013414,Other
AWD,169.6009,-19.2346,Other
AWE,9.444,-0.545,Other
AWK,166.636637,19.282437,Other
